FLX_ANN_MOI,AGE_BEN_SNDS,BEN_SEX_COD,RAC,FLT_PAI_MNT
202102,0,2,209928867.95,542164723.02
202102,20,1,77341757.16,257618838.65
202102,20,2,130689320.81,416582792.9
202102,30,1,111492506.84,366040640.64
202102,30,2,183823348.11,608679735.48
202102,40,0,0.0,54.0
202102,40,1,166209346.86,518176226.96
202102,40,2,229037610.96,679937007.97
202102,50,0,0.0,98.0
202102,50,1,227962869.73,793559438.99
202102,50,2,280189352.47,886988475.63
202102,60,0,0.0,27.0
202102,60,1,236832143.37,1180406549.27
202102,60,2,279517965.81,993778439.46
202102,70,1,207290929.59,1033180294.69
202102,70,2,253761616.82,1013056112.94
202102,80,1,121746678.5,727603198.64
202102,80,2,217572341.54,1134211239.81
202102,99,0,1208.22,19865121.93
202102,99,1,322415.63,3328163.05
202102,99,2,323760.4,2139094.43
202103,0,0,24.0,62.39
202103,0,1,226910662.27,651343090.27
202103,0,2,245821152.39,627299062.62
202103,20,1,87065462.52,296250205.51
202103,20,2,147000167.07,465822815.29
202103,30,0,0.0,180.72
202103,30,1,125212044.93,412076636.38
202103,30,2,206969097.96,677279078.76
202103,40,0,0.0,81.0
202103,40,1,187025207.03,580411227.73
202103,40,2,263031390.38,768441991.13
202103,50,0,0.0,284.12
202103,50,1,255902397.58,882498335.2
202103,50,2,320921613.15,1001036650.84
202103,60,0,0.0,14785.490000000002
202103,60,1,264559474.75,1269867528.68
202103,60,2,316640224.51,1112978572.46
202103,70,0,0.0,130.04
202103,70,1,233622369.55,1130006850.69
202103,70,2,284847491.63,1120169840.84
202103,80,0,0.0,44.06
202103,80,1,139808495.99,798010450.88
202103,80,2,249225500.96,1258984958.1
202103,99,0,46816.229999999996,263744670.05
202103,99,1,337797.28,11502452.03
202103,99,2,364414.15,11428992.0
202104,0,0,541.0,802.0
202104,0,1,203226863.27,617587400.51
202104,0,2,215262920.5,582444371.76
202104,20,1,86758275.03,301031766.26
202104,20,2,143136557.34,468512160.68
202104,30,1,121667246.82,411750280.04
202104,30,2,199496082.28,677348614.0
202104,40,1,178482725.14,578449942.09
202104,40,2,249543596.92,758182189.47
202104,50,1,248504296.0,892321725.89
202104,50,2,311282373.07,1002825882.41
202104,60,1,260090230.09,1393940898.77
202104,60,2,309998134.97,1124193503.29
202104,70,1,234493821.72,1172670583.86
202104,70,2,288164644.66,1151426887.63
202104,80,1,136508047.87,808838649.53
202104,80,2,243223221.43,1242098750.69
202104,99,0,64.52,680944733.13
202104,99,1,272103.82,44731350.84
202104,99,2,323727.67,53100659.01
202105,0,0,0.0,728.6800000000001
202105,0,1,188406639.53,563907819.29
202105,0,2,198574677.52,530395006.26
202105,20,1,76461382.41,258906270.97
202105,20,2,126627536.81,407414918.62
202105,30,1,108752632.82,361032680.03
202105,30,2,178829639.2,597600926.59
202105,40,1,159967750.86,508472461.34
202105,40,2,221525650.59,663940247.56
202105,50,0,0.0,25.0
202105,50,1,222379835.84,789936293.57
202105,50,2,275746200.3,878716859.02
202105,60,0,0.0,79.0
202105,60,1,234431633.73,2136526674.19
202105,60,2,277448434.77,998258458.51
202105,70,1,212837090.5,1059479706.47
202105,70,2,262320334.3,1041451800.98
202105,80,0,24.0,80.0
202105,80,1,129115832.35,744954387.17
202105,80,2,235717345.41,1155563617.9
202105,99,0,1226.56,57399121.01
202105,99,1,253588.34,9145093.67
202105,99,2,288956.22,4010462.68
202106,0,0,0.0,312.15999999999997
202106,0,1,238174103.99,683325856.1
202106,0,2,248938343.38,639057566.01
202106,20,1,94339215.62,301865323.0
202106,20,2,151276555.06,473800871.94
202106,30,1,132177324.76,418105602.41
202106,30,2,216832131.21,702195323.93
202106,40,1,195994768.59,593683973.09
202106,40,2,271850832.2,780720523.84
202106,50,1,273114993.61,922614874.77
202106,50,2,341949050.2,1039201309.79
202106,60,0,0.0,1220.0
202106,60,1,284547735.4,2120739293.95
202106,60,2,344279660.4,1188590714.09
202106,70,1,256568124.56,1242587979.31
202106,70,2,323976993.23,1235981745.56
202106,80,0,1059.0400000000002,2661.21
202106,80,1,152882832.66,860394318.92
202106,80,2,279783068.65,1329548258.09
202106,99,0,419.01,265201203.17000002
202106,99,1,336105.25,30467750.06
202106,99,2,342806.93,12052682.16
202107,0,0,242.05999999999997,728.8
202107,0,1,211777792.02,620488698.75
202107,0,2,217280806.72,571359822.81
202107,20,0,0.0,124.51
202107,20,1,85632949.55,294355610.69
202107,20,2,134998299.06,444824316.69
202107,30,0,0.0,3.96
202107,30,1,118143749.59,387893899.55
202107,30,2,188732218.69,627054104.82
202107,40,1,172349832.86,537514227.26
202107,40,2,236946536.31,697122514.17
202107,50,1,245022629.98,836730226.67
202107,50,2,302108448.45,935133082.08
202107,60,1,249338033.05,1773490177.42
202107,60,2,297309190.69,1049987429.23
202107,70,0,0.0,44.06
202107,70,1,223131385.76,1118666615.19
202107,70,2,280462203.4,1103002797.13
202107,80,0,7542.070000000001,22084.47
202107,80,1,136309307.01,788386242.57
202107,80,2,247962160.97,1212033790.63
202107,99,0,114406.16,103520391.11
202107,99,1,241415.38,8829119.63
202107,99,2,294458.83,14593131.79
202108,0,0,56.47000000000003,851.03
202108,0,1,147191958.46,445710517.12
202108,0,2,153234519.94,421556309.88
202108,20,1,70275839.02,299812392.04
202108,20,2,111535107.59,434910410.8
202108,30,1,88021102.83,361464599.16
202108,30,2,141323897.88,562245018.89
202108,40,1,124447059.96,461136822.41
202108,40,2,170761199.5,580182084.7
202108,50,1,175298847.88,702105378.37
202108,50,2,215427781.91,768190647.1
202108,60,0,0.0,600.0
202108,60,1,178355522.66,1272007213.46
202108,60,2,207446651.59,865589776.72
202108,70,1,164781448.77,981608627.43
202108,70,2,201082423.21,931393318.45
202108,80,0,23027.62,69408.38
202108,80,1,107751627.25,719599388.63
202108,80,2,200821759.85,1104696561.1
202108,99,0,258.65000000000003,29036484.23
202108,99,1,211844.98,8735744.36
202108,99,2,221710.3,2377640.0
202109,0,0,24308.41,119147.36
202109,0,1,228846506.96,611527647.12
202109,0,2,238090613.85,579962415.21
202109,20,1,86165760.47,320331749.33
202109,20,2,135548645.55,476151510.21
202109,30,1,114318468.26,408031007.93
202109,30,2,183072681.13,657630972.01
202109,40,1,166474144.0,546358592.29
202109,40,2,229079170.25,701609575.4
202109,50,0,0.0,75.11
202109,50,1,230041072.62,827780854.68
202109,50,2,281302783.43,916360239.7
202109,60,0,0.0,190.14000000000001
202109,60,1,229214907.42,1243866825.44
202109,60,2,271608477.72,1028399064.82
202109,70,0,0.0,44.06
202109,70,1,205672854.06,1110975477.9
