Year,Month,AGE_BEN_SNDS,BEN_SEX_COD,RAC,FLT_PAI_MNT
2019,6,40,1,158952769.88009265,481888546.69961005
2019,6,40,2,221058200.91020793,627852555.5288357
2019,6,50,1,216779624.64020705,745479088.2782222
2019,6,50,2,275934383.74028355,842262582.5576078
2019,6,60,0,288.09000000000003,823.1400000000001
2019,6,60,1,223256185.84022254,1038777613.6165153
2019,6,60,2,275514126.6903157,961699283.4665902
2019,6,70,1,185806056.30022243,927312687.3861808
2019,6,70,2,240728724.8104157,942499452.4658291
2019,6,80,0,4157.92,13092.470000000001
2019,6,80,1,126454634.60004874,711806812.2680227
2019,6,80,2,236063049.88033876,1129603512.1753113
2019,6,99,0,1190.8300000000002,182922897.66
2019,6,99,1,319711.299999997,9756036.53999936
2019,6,99,2,310801.4399999964,9987363.18999922
2019,7,0,0,18109.950000000004,92523.24999999991
2019,7,0,1,201959293.9202282,547992648.4694471
2019,7,0,2,210068222.49024728,513911246.46943057
2019,7,20,1,85076377.10000512,253306370.76998025
2019,7,20,2,134129008.02011387,398882029.71955293
2019,7,30,1,117547415.86003178,355772784.3898687
2019,7,30,2,186743461.42013696,577728841.47926
2019,7,40,1,170224430.1201025,512938807.8096179
2019,7,40,2,231841568.02021736,653743092.2788876
2019,7,50,1,230488728.91018957,790322484.1381389
2019,7,50,2,291869329.060245,885606228.1676247
2019,7,60,1,228289869.3201997,1081334329.4567802
2019,7,60,2,275561537.3903142,980817625.0767947
2019,7,70,1,183977636.37018955,956062895.5064881
2019,7,70,2,235431397.9303696,958453481.4259424
2019,7,80,0,41804.54000000002,126581.13000000003
2019,7,80,1,127197457.34004246,750913343.2580997
2019,7,80,2,235731814.1603063,1190023897.4455297
2019,7,99,0,629.7800000000002,8199396.95
2019,7,99,1,278681.8699999972,2892823.3300001
2019,7,99,2,303317.70999999624,2641783.5200000983
2019,8,0,0,15379.089999999998,74516.55999999998
2019,8,0,1,148969074.45006543,380242131.5698216
2019,8,0,2,158076234.1801124,370598852.9597724
2019,8,20,1,61562994.639974795,194730299.87000823
2019,8,20,2,99709163.21004552,313729194.88983333
2019,8,30,1,77587657.11998703,266199608.9499679
2019,8,30,2,123408141.56007676,428181269.91959494
2019,8,40,1,110575423.01002882,379834261.49981654
2019,8,40,2,148438834.56007454,467939007.2296338
2019,8,50,1,148103610.2700647,595634071.4393697
2019,8,50,2,181034470.0901375,640169255.2089753
2019,8,60,1,147403375.17006066,855459020.7182465
2019,8,60,2,171971762.60014057,735692469.3983594
2019,8,70,1,124636003.7000477,766949253.1180754
2019,8,70,2,154824671.43014592,748650917.0978088
2019,8,80,0,17935.499999999993,50491.19
2019,8,80,1,93788591.14000139,632059584.4691489
2019,8,80,2,181242117.79013819,1014516795.2375304
2019,8,99,0,822.1400000000001,460010.7799999999
2019,8,99,1,182161.87999999872,1739608.4700000426
2019,8,99,2,185659.90999999872,1341844.7300000389
2019,9,0,0,698.48,1923.5
2019,9,0,1,219884072.86019078,607455804.6592959
2019,9,0,2,226636886.98023453,552971974.0294279
2019,9,20,1,79429871.39999242,241150132.30999613
2019,9,20,2,129205755.19009149,387303618.18965673
2019,9,30,1,110357694.01002668,342568442.58990675
2019,9,30,2,180068234.44011226,573184733.4793795
2019,9,40,1,163316914.8300678,500817509.68970436
2019,9,40,2,224870577.19016236,646674877.2490901
2019,9,50,1,216077637.6601549,762249585.3683995
2019,9,50,2,268739864.58024704,851088808.6378763
2019,9,60,1,216716384.7601762,1055803326.4769967
2019,9,60,2,264303018.7503064,974021149.6669763
2019,9,70,0,0.0,1088.8
2019,9,70,1,178576042.81017554,939421590.6665331
2019,9,70,2,231173319.0503457,961183905.0361053
2019,9,80,0,264.8,682.62
2019,9,80,1,121217655.650035,723769535.6684029
2019,9,80,2,227886716.1002621,1154227069.6759372
2019,9,99,0,3321.9899999999993,184567204.48000002
