SOI_ANN,SOI_MOI,BEN_SEX_COD,AGE_BEN_SNDS,BEN_RES_REG,RAC,FLT_PAI_MNT,FLT_REM_MNT
2019.0,1.0,2.0,30.0,53.0,6421186.270000008,22742153.709998284,16320967.439998657
2019.0,1.0,2.0,30.0,75.0,13636937.22000028,45130039.2400027,31493102.019996583
2019.0,1.0,2.0,30.0,76.0,14739775.150000144,52250839.29000477,37511064.13999666
2019.0,1.0,2.0,30.0,84.0,21227064.589998554,67331516.83000696,46104452.23999718
2019.0,1.0,2.0,30.0,93.0,16077423.990000093,53908145.55000388,37830721.55999673
2019.0,1.0,2.0,40.0,5.0,7068986.860000029,23979161.379999693,16910174.51999944
2019.0,1.0,2.0,40.0,11.0,51983801.14999414,132193385.17002816,80209584.01999904
2019.0,1.0,2.0,40.0,24.0,7459037.690000093,22662501.369997226,15203463.679998355
2019.0,1.0,2.0,40.0,27.0,8127580.110000097,24312746.62999764,16185166.519998383
2019.0,1.0,2.0,40.0,28.0,9473435.750000216,29212212.38999847,19738776.639998235
2019.0,1.0,2.0,40.0,32.0,19313142.509999234,60498893.07000236,41185750.55999623
2019.0,1.0,2.0,40.0,44.0,19343731.58999932,55372993.73000166,36029262.139996745
2019.0,1.0,2.0,40.0,52.0,10701478.240000295,31691853.119998824,20990374.87999837
2019.0,1.0,2.0,40.0,53.0,8918977.560000142,27337065.559998404,18418087.99999864
2019.0,1.0,2.0,40.0,75.0,18357344.859999355,55044580.82000184,36687235.95999604
2019.0,1.0,2.0,40.0,76.0,19187919.209999472,61096300.08000256,41908380.86999529
2019.0,1.0,2.0,40.0,84.0,26647643.74999867,74716616.66000757,48068972.9099961
2019.0,1.0,2.0,40.0,93.0,20022601.689999353,63415018.5700037,43392416.879996344
2019.0,1.0,2.0,50.0,5.0,8665785.650000026,32821974.76000072,24156189.11000003
2019.0,1.0,2.0,50.0,11.0,57291203.3099916,157181843.4900149,99890640.18000628
2019.0,1.0,2.0,50.0,24.0,9413142.940000243,30939720.949998457,21526578.00999792
2019.0,1.0,2.0,50.0,27.0,10715771.210000217,34456818.149999045,23741046.939997464
2019.0,1.0,2.0,50.0,28.0,12072753.00000025,40969649.359998725,28896896.35999733
2019.0,1.0,2.0,50.0,32.0,23044799.259998545,80917658.54000841,57872859.27999642
2019.0,1.0,2.0,50.0,44.0,25538794.999998298,77623855.65000655,52085060.64999586
