SOI_ANN,SOI_MOI,BEN_SEX_COD,AGE_BEN_SNDS,BEN_RES_REG,RAC,FLT_PAI_MNT,FLT_REM_MNT
2019.0,1.0,1.0,50.0,75.0,18998160.489999555,69052809.91000399,50054649.41999565
2019.0,1.0,1.0,50.0,76.0,19648689.239999704,77808708.87000899,58160019.62999612
2019.0,1.0,1.0,50.0,84.0,27374064.419998385,89536573.32001215,62162508.89999638
2019.0,1.0,1.0,50.0,93.0,19949721.639999602,77863367.85000864,57913646.20999563
2019.0,1.0,1.0,60.0,5.0,5966190.319999987,39057086.88000119,33090896.560000014
2019.0,1.0,1.0,60.0,11.0,38943582.92999606,190933400.35001457,151989817.4200174
2019.0,1.0,1.0,60.0,24.0,9164689.47000006,51294111.81000074,42129422.339996845
2019.0,1.0,1.0,60.0,27.0,10149810.57000005,59860506.68000133,49710696.109996095
2019.0,1.0,1.0,60.0,28.0,10916745.1200002,69835476.44000159,58918731.31999706
2019.0,1.0,1.0,60.0,32.0,19124830.01999936,115668593.05001333,96543763.03000067
2019.0,1.0,1.0,60.0,44.0,23314395.739998676,114161390.2100134,90846994.47000054
2019.0,1.0,1.0,60.0,52.0,12246732.71000015,68248898.12000205,56002165.40999677
2019.0,1.0,1.0,60.0,53.0,10497833.490000086,59006519.19000145,48508685.69999772
2019.0,1.0,1.0,60.0,75.0,22589532.709998544,123398267.63002194,100808734.92000611
2019.0,1.0,1.0,60.0,76.0,21753228.279999442,126304331.67002559,104551103.39000838
2019.0,1.0,1.0,60.0,84.0,28036723.729998205,140175814.75002423,112139091.02000965
2019.0,1.0,1.0,60.0,93.0,21145158.869999323,129591704.13002445,108446545.26000947
2019.0,1.0,1.0,70.0,5.0,3947223.629999923,27410706.340000547,23463482.70999974
2019.0,1.0,1.0,70.0,11.0,29951486.339997698,133397089.5200344,103445603.18000624
2019.0,1.0,1.0,70.0,24.0,7445234.110000093,37709212.81000114,30263978.699997135
2019.0,1.0,1.0,70.0,27.0,8322351.39000013,41771694.24000192,33449342.849997226
2019.0,1.0,1.0,70.0,28.0,8654405.890000105,45169711.6000011,36515305.70999731
2019.0,1.0,1.0,70.0,32.0,13807088.230000518,78240252.82000633,64433164.58999731
2019.0,1.0,1.0,70.0,44.0,18045844.53000021,81295461.79000919,63249617.259996794
2019.0,1.0,1.0,70.0,52.0,9923236.070000244,46984095.55000248,37060859.47999723
2019.0,1.0,1.0,70.0,53.0,8409878.990000194,44890353.480002195,36480474.48999699
2019.0,1.0,1.0,70.0,75.0,19381750.50999975,98464963.81002034,79083213.29999916
2019.0,1.0,1.0,70.0,76.0,18698653.080000173,104674074.54002169,85975421.4600026
2019.0,1.0,1.0,70.0,84.0,23797526.10999878,111634827.43002121,87837301.32000078
2019.0,1.0,1.0,70.0,93.0,19686586.999999925,108817406.83002752,89130819.83000359
2019.0,1.0,1.0,80.0,5.0,2412498.2899999265,20427682.899999242,18015184.60999942
2019.0,1.0,1.0,80.0,11.0,18884907.82000017,98142449.1600181,79257541.34000112
2019.0,1.0,1.0,80.0,24.0,4876546.299999912,27783600.389998402,22907054.089997735
2019.0,1.0,1.0,80.0,27.0,5221834.079999897,30090416.000000086,24868581.919998687
2019.0,1.0,1.0,80.0,28.0,5344961.64000002,31857384.83999997,26512423.19999818
2019.0,1.0,1.0,80.0,32.0,8456208.70000007,52423194.72000126,43966986.01999861
2019.0,1.0,1.0,80.0,44.0,12751765.80000009,58692889.78000196,45941123.979998186
2019.0,1.0,1.0,80.0,52.0,6601252.160000051,34390760.590000905,27789508.429998714
2019.0,1.0,1.0,80.0,53.0,5359673.429999984,34295866.850000344,28936193.419998232
2019.0,1.0,1.0,80.0,75.0,13048534.400000388,79634966.70000812,66586432.299997225
2019.0,1.0,1.0,80.0,76.0,13260588.350000514,90680566.07001254,77419977.71999986
2019.0,1.0,1.0,80.0,84.0,14548094.810000528,80057129.58000806,65509034.76999687
2019.0,1.0,1.0,80.0,93.0,13797424.380000517,93814978.09001683,80017553.7100019
2019.0,1.0,1.0,99.0,5.0,334.49000000000007,5978.320000000002,5643.83
2019.0,1.0,1.0,99.0,11.0,9260.269999999993,6185073.970000002,6175813.700000002
2019.0,1.0,1.0,99.0,24.0,4350.470000000004,46372.619999999995,42022.149999999994
2019.0,1.0,1.0,99.0,27.0,10843.919999999993,157711.15000000002,146867.23
2019.0,1.0,1.0,99.0,28.0,1220.5900000000004,77718.52999999991,76497.93999999996
2019.0,1.0,1.0,99.0,32.0,4508.290000000003,3759295.65,3754787.36
2019.0,1.0,1.0,99.0,44.0,7595.419999999996,5868278.420000001,5860683.000000001
2019.0,1.0,1.0,99.0,52.0,2072.6600000000003,1048233.99,1046161.3300000001
2019.0,1.0,1.0,99.0,53.0,1289.76,1053549.02,1052259.26
2019.0,1.0,1.0,99.0,75.0,39123.710000000014,1589844.71,1550720.9999999998
2019.0,1.0,1.0,99.0,76.0,100259.39999999986,1776880.8500000103,1676621.450000002
2019.0,1.0,1.0,99.0,84.0,14172.16999999999,3279231.89,3265059.7199999997
2019.0,1.0,1.0,99.0,93.0,114442.5199999999,6219019.750000015,6104577.230000005
2019.0,1.0,2.0,0.0,5.0,6662703.939999945,18788986.879998777,12126282.939999877
2019.0,1.0,2.0,0.0,11.0,46327489.09999312,109515808.62002496,63188319.51999219
2019.0,1.0,2.0,0.0,24.0,8005208.810000362,19769867.17999681,11764658.36999941
2019.0,1.0,2.0,0.0,27.0,8427221.790000258,20324636.229997493,11897414.439999392
2019.0,1.0,2.0,0.0,28.0,10309156.32000038,28445757.44999834,18136601.129999157
2019.0,1.0,2.0,0.0,32.0,21620913.549998734,54078697.620002486,32457784.069997445
2019.0,1.0,2.0,0.0,44.0,20380298.599999517,48985785.60000129,28605486.9999982
2019.0,1.0,2.0,0.0,52.0,12106954.120000334,29638957.849998012,17532003.729999196
2019.0,1.0,2.0,0.0,53.0,9919053.460000059,25149468.999998443,15230415.539999265
2019.0,1.0,2.0,0.0,75.0,18466563.099999726,45228730.89000083,26762167.789997503
2019.0,1.0,2.0,0.0,76.0,19834265.899999008,52573075.39000328,32738809.489997014
2019.0,1.0,2.0,0.0,84.0,28464866.259997286,70934567.28000689,42469701.01999478
2019.0,1.0,2.0,0.0,93.0,19021930.599999614,50729419.82000225,31707489.219997544
2019.0,1.0,2.0,20.0,5.0,3918186.0599998366,14027988.679997979,10109802.619999899
2019.0,1.0,2.0,20.0,11.0,29503964.8099974,77418356.4400171,47914391.62999647
2019.0,1.0,2.0,20.0,24.0,3982834.339999803,12504314.77999702,8521480.439999588
2019.0,1.0,2.0,20.0,27.0,4434330.409999848,13797197.699996665,9362867.289999481
2019.0,1.0,2.0,20.0,28.0,4966312.879999914,16607960.069996072,11641647.189999154
2019.0,1.0,2.0,20.0,32.0,10661509.500000168,35132474.300000615,24470964.799997523
2019.0,1.0,2.0,20.0,44.0,11350947.77000017,34376969.6399994,23026021.869997777
2019.0,1.0,2.0,20.0,52.0,6054250.620000076,19459073.8799964,13404823.259998903
2019.0,1.0,2.0,20.0,53.0,4701975.029999893,15628575.669996455,10926600.63999926
2019.0,1.0,2.0,20.0,75.0,9819983.200000193,30448057.689998902,20628074.4899981
