,annee,mois,region,SIN_N/N-1
202,2021,11,Centre-Val-de-Loire,-0.0212763379998403
203,2021,12,Centre-Val-de-Loire,-0.04939746143433876
204,2021,1,Grand Est,-0.05009947633174161
205,2021,2,Grand Est,-0.03311979051169256
206,2021,3,Grand Est,0.4534487369599629
207,2021,4,Grand Est,1.6394862955691818
208,2021,5,Grand Est,0.39513771757185
209,2021,6,Grand Est,0.07376805947578613
210,2021,7,Grand Est,-0.05616811098789587
211,2021,8,Grand Est,-0.04161824423371652
212,2021,9,Grand Est,-0.013026369893083811
213,2021,10,Grand Est,-0.023543269210364426
214,2021,11,Grand Est,0.0038750372518316922
215,2021,12,Grand Est,-0.019251450495484934
216,2021,1,Hauts-de-France,-0.020659265437549812
217,2021,2,Hauts-de-France,-0.020351382089486947
218,2021,3,Hauts-de-France,0.46346757754554413
219,2021,4,Hauts-de-France,1.8181676103983864
220,2021,5,Hauts-de-France,0.33648043342884404
221,2021,6,Hauts-de-France,0.05827938604949767
222,2021,7,Hauts-de-France,-0.06992368318666031
223,2021,8,Hauts-de-France,-0.04097018276930109
224,2021,9,Hauts-de-France,-0.014982952623204926
225,2021,10,Hauts-de-France,-0.005578946981770527
226,2021,11,Hauts-de-France,0.009236342479763682
227,2021,12,Hauts-de-France,-0.02927150380707111
228,2021,1,Ile-de-France,0.018187822214417615
229,2021,2,Ile-de-France,-0.03994570751752324
230,2021,3,Ile-de-France,0.635200238713864
231,2021,4,Ile-de-France,2.426835428097959
232,2021,5,Ile-de-France,0.4278826279235701
233,2021,6,Ile-de-France,0.06334879364195722
234,2021,7,Ile-de-France,-0.08198886029068098
235,2021,8,Ile-de-France,-0.059615875153022135
236,2021,9,Ile-de-France,-0.025858406006519563
237,2021,10,Ile-de-France,-0.010098028586150054
238,2021,11,Ile-de-France,0.00027235839191352973
239,2021,12,Ile-de-France,-0.034365677177931486
240,2021,1,Normandie,-0.0037567884437448296
241,2021,2,Normandie,-0.025347068093913627
242,2021,3,Normandie,0.4816791246095007
243,2021,4,Normandie,2.0343699240693818
244,2021,5,Normandie,0.30288114229609886
245,2021,6,Normandie,0.02722290979792885
246,2021,7,Normandie,-0.08826430785889361
247,2021,8,Normandie,-0.06341079837718067
248,2021,9,Normandie,-0.025035487267432655
249,2021,10,Normandie,-0.021736897477136696
250,2021,11,Normandie,0.008700434802231038
251,2021,12,Normandie,-0.03403697367285219
252,2021,1,Nouvelle-Aquitaine,-0.03047928214596729
253,2021,2,Nouvelle-Aquitaine,-0.08696638766788012
254,2021,3,Nouvelle-Aquitaine,0.6177451350477796
255,2021,4,Nouvelle-Aquitaine,2.04768040311725
256,2021,5,Nouvelle-Aquitaine,0.3489406753348534
257,2021,6,Nouvelle-Aquitaine,0.031703722164613035
258,2021,7,Nouvelle-Aquitaine,-0.09059032109968301
259,2021,8,Nouvelle-Aquitaine,-0.07719856029071126
260,2021,9,Nouvelle-Aquitaine,-0.016749624394107876
261,2021,10,Nouvelle-Aquitaine,-0.040986439087339344
262,2021,11,Nouvelle-Aquitaine,-0.01369112162521835
263,2021,12,Nouvelle-Aquitaine,-0.04246646376308538
264,2021,1,Occitanie,-0.023321148427736582
265,2021,2,Occitanie,-0.052502674602590504
266,2021,3,Occitanie,0.5570586007831204
267,2021,4,Occitanie,2.023644765961706
268,2021,5,Occitanie,0.3716153013695971
269,2021,6,Occitanie,0.04111458496674869
270,2021,7,Occitanie,-0.09156543424084174
271,2021,8,Occitanie,-0.070907714236503
272,2021,9,Occitanie,-0.02343340143530015
273,2021,10,Occitanie,-0.028482216666791738
274,2021,11,Occitanie,-0.009457623844915775
275,2021,12,Occitanie,-0.035222272388997444
276,2021,1,Pays de la Loire,-0.0010501466077890154
277,2021,2,Pays de la Loire,-0.023684178191596406
278,2021,3,Pays de la Loire,0.5158643425667078
279,2021,4,Pays de la Loire,2.2976705337662797
280,2021,5,Pays de la Loire,0.3333233393879995
281,2021,6,Pays de la Loire,0.027169258508590755
282,2021,7,Pays de la Loire,-0.09649760410707653
283,2021,8,Pays de la Loire,-0.07954806734858666
284,2021,9,Pays de la Loire,-0.03273017565420333
285,2021,10,Pays de la Loire,-0.049209715196781634
286,2021,11,Pays de la Loire,-0.032242927782946906
287,2021,12,Pays de la Loire,-0.06254278466943064
288,2021,1,Provence-Alpes-Côte d'Azur et Corse,-0.02055400803484786
289,2021,2,Provence-Alpes-Côte d'Azur et Corse,-0.029117320128438928
290,2021,3,Provence-Alpes-Côte d'Azur et Corse,0.5375268184749682
291,2021,4,Provence-Alpes-Côte d'Azur et Corse,2.040737960579733
292,2021,5,Provence-Alpes-Côte d'Azur et Corse,0.3774676645552124
293,2021,6,Provence-Alpes-Côte d'Azur et Corse,0.045051003691517266
294,2021,7,Provence-Alpes-Côte d'Azur et Corse,-0.07810512876005093
295,2021,8,Provence-Alpes-Côte d'Azur et Corse,-0.06414249515096226
296,2021,9,Provence-Alpes-Côte d'Azur et Corse,-0.01482996817868898
297,2021,10,Provence-Alpes-Côte d'Azur et Corse,-0.02164886488861828
298,2021,11,Provence-Alpes-Côte d'Azur et Corse,0.011935089421565515
299,2021,12,Provence-Alpes-Côte d'Azur et Corse,-0.016307392268720355
300,2021,1,Régions et Départements d'outre-mer,0.03390499035707584
301,2021,2,Régions et Départements d'outre-mer,0.004795097929920056
302,2021,3,Régions et Départements d'outre-mer,0.45862473730739794
303,2021,4,Régions et Départements d'outre-mer,1.4443451406039882
